127.0.0.1 - - [02/Jan/2020:09:21:21 +0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:21:23 +0600] "GET /crud-full-practice/ HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:21:30 +0600] "GET /crud-full-practice/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:21:31 +0600] "GET /crud-full-practice/login.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:21:42 +0600] "POST /crud-full-practice/HomeServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:21:43 +0600] "GET /crud-full-practice/home.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:21:46 +0600] "GET /crud-full-practice/add-user.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:02 +0600] "POST /crud-full-practice/HomeServlet?action=insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:02 +0600] "GET /crud-full-practice/home.jsp HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:09 +0600] "GET /crud-full-practice/HomeServlet?action=delete&id=43 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:09 +0600] "GET /crud-full-practice/home.jsp HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:16 +0600] "GET /crud-full-practice/HomeServlet?action=getuser&id=45 HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:25 +0600] "POST /crud-full-practice/HomeServlet?action=update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:25 +0600] "GET /crud-full-practice/home.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:34 +0600] "POST /crud-full-practice/HomeServlet?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:34 +0600] "GET /crud-full-practice/login.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:22:36 +0600] "GET /crud-full-practice/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:24:22 +0600] "POST /crud-full-practice/HomeServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:24:22 +0600] "GET /crud-full-practice/home.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:24:38 +0600] "GET /crud-full-practice/HomeServlet?action=getuser&id=42 HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:24:46 +0600] "POST /crud-full-practice/HomeServlet?action=update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:24:46 +0600] "GET /crud-full-practice/home.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:24:55 +0600] "GET /crud-full-practice/add-user.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:24:59 +0600] "POST /crud-full-practice/HomeServlet?action=insert HTTP/1.1" 500 1858
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:25:01 +0600] "GET /crud-full-practice/add-user.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:25:03 +0600] "POST /crud-full-practice/HomeServlet?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:25:03 +0600] "GET /crud-full-practice/login.jsp HTTP/1.1" 200 407
